YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1994,Canada,17719.6959,0.0017803538474461058,1151.6724,0.0001157121657114607,0.0,0.0,0.0,0.0,484.11,4.864006165518531e-05,3389.0004,0.00034050358060244094,0.0,0.0,12587.49,0.0012647049011258362,0.0,0.0,8915.6853,0.0008957870787429082,272.2167,2.7350472148005792e-05,547.4997,5.500902514758105e-05,53.748,5.400231422286051e-06,4494.7224,0.00045159896440673085,5.7474,5.774594417735888e-07,318.35699999999997,3.198633390832626e-05,8.37,8.409603520974593e-07,1291.9895999999999,0.00012981027824638658,0.062099999999999995,6.239383257497279e-09
1994,United States,1547.2953,0.0001634596784132221,0.0297,3.137573318339878e-09,139.959,1.4785576567728316e-05,10.0062,1.0570769743425079e-06,467.3898,4.9376086388694e-05,115.85159999999999,1.223881781302977e-05,1147.3668,0.00012121035212218879,4967.9397,0.0005248240757522363,441.5292,4.664411573023406e-05,4453.7535,0.0004705043147495907,7.5321,7.957076091268617e-07,0.2592,2.7382458050966204e-08,0.0,0.0,920.7351,9.726848090973061e-05,124.9767,1.3202813445594862e-05,58.5558,6.185963492055428e-06,118.6758,1.2537172512210089e-05,29.871,3.155638134415168e-06,0.0081,8.557018140926939e-10
1995,Canada,18943.9173,0.0019033552404675211,592.4772,5.9528056717051e-05,0.0,0.0,0.0,0.0,2885.1893999999998,0.00028988409721527567,3195.8307,0.000321095210360319,0.0,0.0,17087.1543,0.0017168003938436817,0.0,0.0,5032.898099999999,0.0005056711778072442,33.1992,3.335628544964632e-06,255.9663,2.5717743103116358e-05,28.0242,2.8156799401731925e-06,10217.3508,0.0010265695252414885,7.4637,7.499015268757238e-07,285.2487,2.8659838373637102e-05,40.3506,4.054152303864247e-06,1173.2238,0.0001178775029793452,0.0234,2.351071952100424e-09
1995,United States,581.103,6.13889989228033e-05,0.0702,7.4160823888033476e-09,97.1028,1.0258153347343215e-05,1.0359,1.094347542245212e-07,285.822,3.0194864679950863e-05,61.5231,6.499435589951385e-06,772.4268,8.160086592763142e-05,751.851,7.942719316387729e-05,290.8791,3.0729107845882734e-05,2521.6029,0.00026638767604338244,11.0214,1.1643249350421256e-06,0.7091999999999999,7.492144772278254e-08,0.0,0.0,511.8822,5.4076361375525826e-05,63.994499999999995,6.760519721229e-06,18.1413,1.9164868296296036e-06,56.1978,5.936859186175111e-06,11.9007,1.2572161208608547e-06,0.0,0.0
1996,Canada,5559.147,0.0005585450679189409,693.009,6.96288043783403e-05,0.0,0.0,0.0,0.0,259.6176,2.6084600753488334e-05,704.2374,7.075695721197125e-05,0.0,0.0,5263.4754,0.0005288380078423317,0.0,0.0,2949.5888999999997,0.000296354518504989,57.6918,5.796477472059284e-06,288.7398,2.9010600223721625e-05,20.4588,2.055560292890263e-06,2068.9326,0.00020787219686522248,1.2888,1.2948980905414642e-07,95.39999999999999,9.585139497024806e-06,15.992099999999999,1.6067768275720167e-06,533.0151,5.3553711609230885e-05,0.0,0.0
1996,United States,1448.3376,0.0001530055693504517,0.0,0.0,191.7639,2.0258360136727157e-05,2.8998,3.0634124944518443e-07,288.6174,3.049017688379218e-05,127.93679999999999,1.351552491965607e-05,639.7668,6.758637177237997e-05,4903.0839,0.0005179725664047754,240.22799999999998,2.537821424640243e-05,12339.2601,0.001303546574337234,0.0,0.0,0.0,0.0,0.0,0.0,746.7336,7.888657977332939e-05,245.493,2.593442042556268e-05,24.192899999999998,2.5557911627361894e-06,188.99009999999998,1.996532980439008e-05,37.161,3.925769767098593e-06,0.0,0.0
1997,Canada,2000.9457,0.0002010413381600833,62.406,6.2701280445632074e-06,0.0,0.0,0.0,0.0,37.9116,3.809098265779933e-06,309.6648,3.111300110396527e-05,0.0,0.0,2289.6387,0.00023004723623990073,0.0,0.0,2025.3555,0.00020349386790950128,23.327099999999998,2.343747458711188e-06,46.2654,4.6484309526797845e-06,8.056799999999999,8.094921582770382e-07,488.5668,4.908785043621613e-05,26.6652,2.6791369152627446e-06,57.4902,5.776222082933496e-06,7.5915,7.627419967679645e-07,364.5216,3.6624637166443156e-05,0.0,0.0
1997,United States,313.2252,3.3089798995005785e-05,0.0045,4.753898967181633e-10,132.8364,1.4033129439202806e-05,0.7614,8.043597052471322e-08,17.8173,1.8822587570658957e-06,19.1673,2.024875726081345e-06,369.8073,3.906725647836063e-05,900.7803,9.516041195172359e-05,174.9771,1.848496566600972e-05,1074.2184,0.0001134827942730557,67.6467,7.146346161405462e-06,34.701299999999996,3.665921649552444e-06,0.0,0.0,656.9244,6.939893837058698e-05,33.7446,3.564853757510163e-06,3.8205,4.0360602231372064e-07,69.9111,7.385562357434042e-06,31.2147,3.2975895575752117e-06,0.0,0.0
1998,Canada,10885.3119,0.001093681687946794,1416.0492,0.00014227493832966854,0.0,0.0,0.0,0.0,757.6929,7.612780023485604e-05,3552.1002,0.0003568907329602695,0.0,0.0,10090.5345,0.0010138278907970801,0.0,0.0,8260.9515,0.0008300039046714498,195.7464,1.9667259434385917e-05,1118.2941,0.00011235854242347808,107.6562,1.0816558644859558e-05,4666.5225,0.00046886026340151927,26.2953,2.6419718932506958e-06,246.6675,2.4783463279689374e-05,51.8427,5.20879990987849e-06,776.9511,7.80627324514347e-05,6.654599999999999,6.686086928396359e-07
1998,United States,540.8541,5.713701660857671e-05,0.0,0.0,610.4241,6.448654441183951e-05,11.8314,1.249895116451395e-06,181.8333,1.9209269712649514e-05,49.5432,5.233852606908291e-06,813.7764,8.596912861059528e-05,1415.5749,0.0001495444456684054,428.3469,4.5251508566787876e-05,2437.4808,0.00025750083239211246,0.0,0.0,0.0,0.0,0.0,0.0,1567.071,0.00016554882685333974,71.1405,7.515438877217444e-06,15.5673,1.6445638087068142e-06,137.3706,1.4512132299136027e-05,24.3756,2.5750919925429467e-06,0.0,0.0
